text,published_at,cleaned
"와 하는지도 몰랐고, 관중 뭐냐 ㄷㄷㄷ 날씨 탓 하기엔 야구장은 평일에도 진짜 다 만원관중이다 ㄷㄷㄷㄷ",2025-07-08T14:44:02Z,하는지도 몰랐고 관중 뭐냐 ㄷㄷㄷ 날씨 탓 하기엔 야구장은 평일에도 진짜 다 만원관중이다 ㄷㄷㄷㄷ
이동경 실력대비 부각안되는듯,2025-07-08T14:44:02Z,이동경 실력대비 부각안되는듯
축구가 재미없어졌다,2025-07-08T14:43:14Z,축구가 재미없어졌다
"6:0으로  질 수 있던 중국이 봐 줬군,,,
전반에 3:0, 후 반에 3골을 못 넣었네 ,,,  정,홍은 뭣하냐?? 안내려오고 ??",2025-07-08T14:41:43Z,60으로 질 수 있던 중국이 줬군 전반에 30 후 반에 3골을 못 넣었네 정홍은 뭣하냐 안내려오고
전반전 보다가 드라마봤다 정몽규아웃,2025-07-08T14:39:06Z,전반전 보다가 드라마봤다 정몽규아웃
한국에서 경기하는데도 이 정도면 냉정하게 비긴거나 마친기지다 ㅉㅉㅉ,2025-07-08T14:38:34Z,한국에서 경기하는데도 정도면 냉정하게 비긴거나 마친기지다 ㅉㅉㅉ
후진추구 아직도 하고있네,2025-07-08T14:38:11Z,후진추구 아직도 하고있네
축구 진짜 못한다,2025-07-08T14:38:03Z,축구 진짜 못한다
왜 이리 더울때 경기 일정을 잡지?,2025-07-08T14:37:59Z,이리 더울때 경기 일정을 잡지
잘하네,2025-07-08T14:35:24Z,잘하네
어째 유니폼 색깔이 바뀐거 같다 ㅋㅋㅋㅋ,2025-07-08T14:34:51Z,어째 유니폼 색깔이 바뀐거 ㅋㅋㅋㅋ
죄명이는 중국 응원하겠지?,2025-07-08T14:34:31Z,죄명이는 중국 응원하겠지
